chatgpt_rouge_1,chatgpt_rouge_2,chatgpt_rouge_L
0.160804015221838,0.008097161021491684,0.160804015221838
0.20472440450120913,0.0,0.20472440450120913
0.23008849086067829,0.0,0.23008849086067829
0.23008849058501069,0.0,0.23008849058501069
0.24083769174967795,0.0083333286670165,0.24083769174967795
0.3300970823791121,0.11111110611111134,0.3300970823791121
0.2244897914186798,0.007692303189647604,0.21428570978602676
0.28346456194432396,0.012195116957914,0.28346456194432396
0.25352112190339227,0.03428570940473539,0.23943661486113876
0.25806451123439134,0.012195117025582,0.24193547897632683
0.29059828560157797,0.025641020670612403,0.2564102514135438
