gpt2_bleu,chatgpt_bleu,llama_bleu
0.05814845347628763,0.05596683657474846,0.0924259434787966
0.09419299356583286,0.06382508149824652,0.09750103278040102
0.0883202642835963,0.05619544069186253,0.09396736484048235
0.005694519180109908,0.035669122805133534,0.031104633174804698
0.07662278281682472,0.059630306144256094,0.05546124474847977
0.07627972141810398,0.03995968209574297,0.0805601902514308
0.03748686915485259,0.0468949863751408,0.026080863716869365
0.0801610294509714,0.0594410737437984,0.04363617762349788
0.09988924018047006,0.04308164422578672,0.09384195136866566
0.04236247468808635,0.05264878326451734,0.0927509885252334
0.0009224383175185109,0.001391617452232844,3.078391865047459e-05
0.038798681213529106,0.04787418433026981,0.027303770326613068
0.04625210916466162,0.05269290492840985,0.08656627623112774
0.06005794529669843,0.04014818350903943,0.09682422802867537
0.003098301985607499,0.03107749148124091,0.008767326066058892
0.05324507948984885,0.04522082368514328,0.11444482314563245
0.08997410038853801,0.04155524483516351,0.07502808300449353
0.029968094214780104,0.03985348257050899,0.04944851574027979
0.06970517197737529,0.031863329207668344,0.06035501147522055
0.053114957160166607,0.041105701340944,0.06481617144576642
0.07437989555870166,0.05120630428646679,0.19232676634304094
0.15187912377318402,0.043785253195968675,0.14382053656690935
0.04060025436812076,0.03908055951246231,0.0023976862577880466
0.07432783284140931,0.035562143978903366,0.027221032585786262
0.015365456243990425,0.04531342605642053,0.01371287131742635
0.05618587990178907,0.05811133218475655,0.012883747974984072
0.11602232081071495,0.04272881682640929,0.1268951715339271
0.11337529655348266,0.03707203300082186,0.06942024259700799
0.058443063754876984,0.04093237361907913,0.029018835084038908
0.035356897042632035,0.05002023352139594,0.017281900261153296
0.09009540868977829,0.03312403680429727,0.12603867972469865
0.12603543867429726,0.03682732772567089,0.17092699243414375
0.07415298560120442,0.04889914881097381,0.02967375995785955
0.05601066028987739,0.04725141795359809,0.061597020050087
0.06607036359673323,0.05095715816401462,0.024517229240097835
0.060054990407919784,0.0373947114077009,0.06508111506983727
