gpt2_bertscore,chatgpt_bertscore,llama_bertscore
0.8453860878944397,0.8390284776687622,0.8478997349739075
0.854519248008728,0.8316707611083984,0.8492860794067383
0.8414447903633118,0.819080114364624,0.8343666195869446
0.8536710143089294,0.8105196952819824,0.8102335333824158
0.8459298610687256,0.8050667643547058,0.821894109249115
0.8416045308113098,0.8229254484176636,0.8475373983383179
0.852735161781311,0.8070871829986572,0.8106145858764648
0.875748336315155,0.8188679814338684,0.8220502138137817
0.8690597414970398,0.8089867234230042,0.8202534914016724
0.8704262375831604,0.8177052736282349,0.8209604024887085
0.7917629480361938,0.7981047630310059,0.7977867126464844
0.8526669144630432,0.8139497637748718,0.8209356069564819
0.836026132106781,0.8410193920135498,0.852658748626709
0.8368380069732666,0.8080976605415344,0.8259509205818176
0.8138891458511353,0.794008731842041,0.7983825206756592
0.8783852458000183,0.8114194273948669,0.834148645401001
0.8652987480163574,0.8037326335906982,0.8235203623771667
0.8380056619644165,0.7934315204620361,0.8050804734230042
0.8593716025352478,0.8131059408187866,0.8313115835189819
0.8145467042922974,0.8030797243118286,0.838445782661438
0.8588350415229797,0.8336330652236938,0.8858773708343506
0.8649465441703796,0.8316441178321838,0.8909267783164978
0.8315261006355286,0.7998507022857666,0.8274241089820862
0.8398991227149963,0.8049454092979431,0.8254119753837585
0.8619982600212097,0.7957940697669983,0.8320860862731934
0.8753916621208191,0.8170019388198853,0.8440926671028137
0.8692869544029236,0.8269554972648621,0.88177090883255
0.872586727142334,0.8350448608398438,0.8593881130218506
0.8287805318832397,0.8113781213760376,0.8428968787193298
0.8540955185890198,0.8113107085227966,0.8394626975059509
0.8565769195556641,0.8125537037849426,0.8640128970146179
0.8627616763114929,0.8149613738059998,0.879342794418335
0.8404640555381775,0.8045557141304016,0.8281335830688477
0.8272861838340759,0.7817165851593018,0.7971126437187195
0.835052490234375,0.8117912411689758,0.8308761119842529
0.8210967183113098,0.8030070662498474,0.8442153334617615
